#header line: GPU processors avg,error_bar,run1,run2,run3,
 1, 26.360102, 0.006952, 26.365416, 26.363377, 26.351513
 4, 26.392957, 0.049717, 26.365763, 26.356837, 26.456271
 8, 26.443099, 0.079816, 26.380270, 26.409124, 26.539902
12, 26.991744, 0.519492, 26.528064, 26.880119, 27.567047
16, 26.853743, 0.020884, 26.840774, 26.881111, 26.839342
20, 27.933110, 0.430612, 27.371953, 28.233176, 28.194203
24, 27.457198, 0.008077, 27.448894, 27.457652, 27.465048
28, 29.997097, 0.335601, 29.987751, 29.666170, 30.337371
32, 31.338879, 1.781806, 30.251510, 30.100758, 33.664370
36, 31.470969, 0.199791, 31.395694, 31.308817, 31.708398
40, 32.068164, 0.826481, 31.114099, 32.323331, 32.767062
44, 32.898147, 1.366160, 32.232123, 31.865000, 34.597319
48, 32.410558, 0.396901, 31.982615, 32.776418, 32.472642
