#header line: GPU processors avg,error_bar,run1,run2,run3,
 1, 2650.497509, 20.253558, 2637.075205, 2636.955102, 2677.462219
12, 222.462184, 1.590953, 221.298440, 221.607766, 224.480345
24, 113.766927, 0.203031, 113.556277, 113.782165, 113.962339
48, 67.035728, 0.968774, 66.762534, 68.141100, 66.203551
