#header: N, best P naive algorithm , best P for enhanced algorithm if any

####
2180000   ,  [46],   XXX
2190000   ,  [46],   XXX
2200000   ,  [46],   XXX
2210000   ,  [46],   XXX
2220000   ,  [46],   XXX
2230000   ,  [46],   XXX
2240000   ,  [46],   XXX
2250000   ,  [46],   XXX
2260000   ,  [47],   XXX
2270000   ,  [47],   XXX
2280000   ,  [47],   XXX
2290000   ,  [47],   XXX
2300000   ,  [47],   XXX
2310000   ,  [47],   XXX
2320000   ,  [47],   XXX
2330000   ,  [47],   XXX
2340000   ,  [47],   XXX
2350000   ,  [47],   XXX
2360000   ,  [48],   XXX
2370000   ,  [48],   XXX
2380000   ,  [48],   XXX
2390000   ,  [48],   XXX
2400000   ,  [48],   XXX
2410000   ,  [48],   XXX
2420000   ,  [48],   XXX
2430000   ,  [48],   XXX
2440000   ,  [48],   XXX
2450000   ,  [48],   XXX
2460000   ,  [49],   XXX
2470000   ,  [49],   XXX
2480000   ,  [49],   XXX
2490000   ,  [49],   XXX
2500000   ,  [49],   XXX
2510000   ,  [49],   XXX
2520000   ,  [49],   XXX
2530000   ,  [49],   XXX
2540000   ,  [49],   XXX
2550000   ,  [49],   XXX
2560000   ,  [50],   XXX
2570000   ,  [50],   XXX
2580000   ,  [50],   XXX
2590000   ,  [50],   XXX
2600000   ,  [50],   XXX
2610000   ,  [50],   XXX
2620000   ,  [50],   XXX
2630000   ,  [50],   XXX
2640000   ,  [50],   XXX
2650000   ,  [50],   XXX
2660000   ,  [51],   XXX
2670000   ,  [51],   XXX
2680000   ,  [51],   XXX
2690000   ,  [51],   XXX
2700000   ,  [51],   XXX
2710000   ,  [51],   XXX
2720000   ,  [51],   XXX
2730000   ,  [51],   XXX
2740000   ,  [51],   XXX
2750000   ,  [51],   XXX
2760000   ,  [52],   XXX
2770000   ,  [52],   XXX
2780000   ,  [52],   XXX
2790000   ,  [52],   XXX
2800000   ,  [52],   XXX
2810000   ,  [52],   XXX
2820000   ,  [52],   XXX
2830000   ,  [52],   XXX
2840000   ,  [52],   XXX
2850000   ,  [52],   XXX
2860000   ,  [52],   XXX
2870000   ,  [53],   XXX
2880000   ,  [53],   XXX
2890000   ,  [53],   XXX
2900000   ,  [53],   XXX
2910000   ,  [53],   XXX
2920000   ,  [53],   XXX
2930000   ,  [53],   XXX
2940000   ,  [53],   XXX
2950000   ,  [53],   XXX
2960000   ,  [53],   XXX
2970000   ,  [53],   XXX
2980000   ,  [54],   XXX
2990000   ,  [54],   XXX
3000000   ,  [54],   XXX
3010000   ,  [54],   XXX
3020000   ,  [54],   XXX
3030000   ,  [54],   XXX
3040000   ,  [54],   XXX
3050000   ,  [54],   XXX
3060000   ,  [54],   XXX
3070000   ,  [54],   XXX
3080000   ,  [54],   XXX
3090000   ,  [55],   XXX
3100000   ,  [55],   XXX
3110000   ,  [55],   XXX
3120000   ,  [55],   XXX
3130000   ,  [55],   XXX
3140000   ,  [55],   XXX
3150000   ,  [55],   XXX
3160000   ,  [55],   XXX
3170000   ,  [55],   XXX
3180000   ,  [55],   XXX
3190000   ,  [55],   XXX
3200000   ,  [56],   XXX
3210000   ,  [56],   XXX
3220000   ,  [56],   XXX
3230000   ,  [56],   XXX
3240000   ,  [56],   XXX
3250000   ,  [56],   XXX
3260000   ,  [56],   XXX
3270000   ,  [56],   XXX
3280000   ,  [56],   XXX
3290000   ,  [56],   XXX
3300000   ,  [56],   XXX
3310000   ,  [57],   XXX
3320000   ,  [57],   XXX
3330000   ,  [57],   XXX
3340000   ,  [57],   XXX
3350000   ,  [57],   XXX
3360000   ,  [57],   XXX
3370000   ,  [57],   XXX
3380000   ,  [57],   XXX
3390000   ,  [57],   XXX
3400000   ,  [57],   XXX
3410000   ,  [57],   XXX
3420000   ,  [57],   XXX
3430000   ,  [58],   XXX
3440000   ,  [58],   XXX
3450000   ,  [58],   XXX
3460000   ,  [58],   XXX
3470000   ,  [58],   XXX
3480000   ,  [58],   XXX
3490000   ,  [58],   XXX
3500000   ,  [58],   XXX
3510000   ,  [58],   XXX
3520000   ,  [58],   XXX
3530000   ,  [58],   XXX
3540000   ,  [58],   XXX
3550000   ,  [59],   XXX
3560000   ,  [59],   XXX
3570000   ,  [59],   XXX
3580000   ,  [59],   XXX
3590000   ,  [59],   XXX
3600000   ,  [59],   XXX
3610000   ,  [59],   XXX
