#header line: GPU processors run1,run2,run 3,avg,error_bar
 1, 2.636566, 2.635308, 2.630972, 2.634282, 0.002797
 4, 0.659587, 0.659471, 0.660345, 0.659801, 0.000437
 8, 0.331090, 0.330787, 0.331511, 0.331129, 0.000362
12, 0.220904, 0.221241, 0.239409, 0.227185, 0.009252
16, 0.168302, 0.181110, 0.170343, 0.173251, 0.006404
20, 0.144819, 0.137581, 0.138485, 0.140295, 0.003619
24, 0.119261, 0.122399, 0.120803, 0.120821, 0.001569
28, 0.107264, 0.105295, 0.108676, 0.107078, 0.001690
32, 0.105826, 0.092618, 0.098836, 0.099094, 0.006604
36, 0.129644, 0.089664, 0.118719, 0.112675, 0.019990
40, 0.118196, 0.114002, 0.112090, 0.114763, 0.003053
44, 0.104404, 0.100804, 0.138588, 0.114599, 0.018892
48, 0.129763, 0.114868, 0.130361, 0.124998, 0.007747
