# processors run1,run2,run 3,avg,error_bar
 1, 2637.075205, 2636.955102, 2677.462219, 2650.497509, 20.253558
 4, 658.448904, 661.093330, 658.670992, 659.404409, 1.322213
 8, 331.907157, 331.660260, 330.641739, 331.403052, 0.632709
12, 221.298440, 221.607766, 224.480345, 222.462184, 1.590953
16, 167.843642, 167.868663, 174.516985, 170.076430, 3.336672
20, 137.942316, 137.767514, 137.893683, 137.867837, 0.087401
24, 113.556277, 113.782165, 113.962339, 113.766927, 0.203031
28, 110.300885, 107.901717, 109.060638, 109.087747, 1.199584
32, 94.834950, 94.671336, 95.112843, 94.873043, 0.220753
36, 87.385366, 87.986026, 89.994851, 88.455415, 1.304742
40, 78.856275, 80.332863, 85.694715, 81.627951, 3.419220
44, 72.369287, 72.095705, 73.570455, 72.678482, 0.737375
48, 66.762534, 68.141100, 66.203551, 67.035728, 0.968774
