# processors run1,run2,run 3,avg,error_bar
 1, 2.636578, 2.636801, 2.629493, 2.634291, 0.003654
 4, 2.639168, 2.635410, 2.638993, 2.637857, 0.001879
 8, 2.747071, 2.637939, 2.638097, 2.674369, 0.054566
12, 2.661657, 2.654146, 2.666678, 2.660827, 0.006266
16, 2.677607, 2.683913, 2.682914, 2.681478, 0.003153
20, 2.813816, 2.720940, 2.881895, 2.805550, 0.080478
24, 2.733488, 2.728294, 2.758726, 2.740170, 0.015216
28, 3.120606, 2.990890, 2.978495, 3.029997, 0.071056
32, 3.083614, 3.035007, 3.043584, 3.054068, 0.024304
36, 3.168117, 3.120056, 3.115571, 3.134581, 0.026273
40, 3.154294, 3.209160, 3.128598, 3.164017, 0.040281
44, 3.204678, 3.360775, 3.286211, 3.283888, 0.078049
48, 3.461436, 3.246919, 3.303586, 3.337314, 0.107258
